,id_orig,year_orig,year,author_orig,author,title_orig,title,genre,source,title_short
1024,SC1150,1850,1850,Cobbold Richard 1797 1877,Cobbold Richard,Freston Tower or The early days of Cardinal Wolsey,"Freston Tower, or, The early days of Cardinal Wolsey",,,Freston Tower
1025,SC1151,1850,1850,"Collins, Wilkie","Collins, Wilkie","Antonina, or, The fall of Rome. : A romance of the fifth century","Antonina; or, The Fall of Rome",Historical,"Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",Antonina
1027,SC1153,1850,1850,Crawford A Mrs,"Crawford, Mrs. A.",The lady of the bedchamber A novel,The lady of the bedchamber. : A novel,,,The lady of the bedchamber
1028,SC1154,1850,1850,Crowe Catherine 1800 1876,"Crowe, Catherine",Light and darkness or The mysteries of life,"Light and darkness : or, The mysteries of life",,,Light and darkness
1030,SC1157,1850,1850,"Dickens, Charles","Dickens, Charles",The Personal History of David Copperfield By Charles Dickens With Illustrations by H K Browne,David Copperfield,Bildungsroman,"Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",David Copperfield
1031,SC1158,1850,1850,Fisher William 1780 1852,Fisher William,The petrel a tale of the sea,The petrel : a tale of the sea,,,The petrel
1032,SC1159,1850,1850,"Gardiner, Marguerite Countess of Blessington","Gardiner, Marguerite Countess of Blessington",Country quarters a novel,Country quarters : a novel,,,Country quarters
1033,SC1160,1850,1850,Gordon Margaret Maria b 1823,"Gordon, Margaret Maria",Kingsconnell a tale,"Kingsconnell, a tale ..",,,Kingsconnell
1034,SC1161,1850,1850,Grant James 1822 1887,"Grant, James (1822)",The Scottish cavalier an historical romance,The Scottish cavalier : an historical romance,Historical,title inference,The Scottish cavalier
1035,SC1162,1850,1850,Grey Mrs Elizabeth Caroline 1798 1869,"Grey, Mrs. Elizabeth Caroline",An old country house A novel,An old country house. A novel,,,An old country house
1036,SC1163,1850,1850,Hannay James 1827 1873,"Hannay, James",Singleton Fontenoy R N,"Singleton Fontenoy, R.N.",Nautical,"Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.","Singleton Fontenoy, R"
1037,SC1164,1850,1850,"Hawker, Edward","Hawker, Edward","Arthur Montague, or, An only son at sea","Arthur Montague, or, An only son at sea",,,Arthur Montague
1038,SC1165,1850,1850,James G P R George Payne Rainsford 1801 1860,"James, George Payne Rainsford",A whim and its consequences,A whim and its consequences,,,A whim and its consequences
1039,SC1166,1850,1850,James G P R George Payne Rainsford 1801 1860,"James, George Payne Rainsford",The old oak chest a tale of domestic life,The old oak chest : a tale of domestic life,,,The old oak chest
1040,SC1167,1850,1850,"Kingsley, Charles","Kingsley, Charles",Alton Locke Tailor and Poet An Autobiography In Two Volumes,"Alton Locke, Tailor and Poet. An Autobiography. In Two Volumes",Industrial,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print. | Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.","Alton Locke, Tailor and Poet"
1041,SC1168,1850,1850,Mackenzie R Shelton Robert Shelton 1809 1880,Mackenzie Robert Shelton,Mornings at Matlock,Mornings at Matlock,,,Mornings at Matlock
1042,SC1169,1850,1850,Marsh Caldwell Anne 1791 1874,"Marsh, Caldwell Anne",Lettice Arnold A tale,Lettice Arnold. A tale,,,Lettice Arnold
1043,SC1170,1850,1850,Marsh Caldwell Anne 1791 1874,"Marsh, Caldwell Anne",The Wilmingtons A novel,The Wilmingtons. A novel,,,The Wilmingtons
1044,SC1171,1850,1850,"Marsh-Caldwell, Anne Caldwell","Marsh, Caldwell Anne",Adelaide Lindsay: A novel,Adelaide Lindsay : a novel,,,Adelaide Lindsay
1045,SC1172,1850,1850,Mills John d ca 1885,"Mills, John",Our county,Our county,,,Our county
1046,SC1173,1850,1850,O Reilly Robert Mrs,O Reilly Robert Mrs,Phoebe s fortunes,Phoebe's fortunes,,,Phoebe's fortunes
1047,SC1174,1850,1850,Pinkney Jane Vaughan,Pinkney Jane Vaughan,Sir Arthur Bouverie a novel,Sir Arthur Bouverie : a novel,,,Sir Arthur Bouverie
1048,SC1176,1850,1850,"Robinson, Emma","Robinson, Emma",The Armourer's Daughter Or The Border Riders,"The armourer's daughter : or, The border riders. a novel",,,The armourer's daughter
1049,SC1177,1850,1850,Savile Charles Stuart 1816 1870,Savile Charles Stuart,Leonard Normandale or The three brothers a novel,"Leonard Normandale; or, The three brothers, a novel ..",,,Leonard Normandale
1050,SC1178,1850,1850,"Sewell, William","Sewell, William",The earl's daughter,The earl's daughter,,,The earl's daughter
1051,SC1179,1850,1850,"Thackeray, William Makepeace","Thackeray, William Makepeace",Rebecca and Rowena A Romance upon Romance by Mr M A Titmarsh With Illustrations by Richard Doyle,Rebecca and Rowena. A Romance upon Romance: by Mr. M. A. Titmarsh. With Illustrations by Richard Doyle,,,Rebecca and Rowena
1052,SC1180,1850,1850,Warburton Eliot 1810 1852,Warburton Eliot,Reginald Hastings or A tale of the troubles in 164,"Reginald Hastings : or, A tale of the troubles in 164-",,,Reginald Hastings
1053,SC1181,1851,1851,Anonymous,Anonymous,"The confessor : a novel, in three volumes","The confessor : a novel, in three volumes",,,The confessor
1054,SC1182,1851,1851,Anonymous,Anonymous,The fair Carew or Husbands and wives,"The fair Carew, or, Husbands and wives",,,The fair Carew
1055,SC1183,1851,1851,"Belfast, Frederick Richard","Belfast, Frederick Richard",Two generations or Birth parentage and education a novel,"Two generations, or, Birth, parentage, and education : a novel",,,Two generations
1057,SC1185,1851,1851,"Borrow, George Henry","Borrow, George Henry",Lavengro the Scholar the Gypsy the Priest By George Borrow In Three Volumes,Lavengro; the Scholar—the Gypsy—the Priest. By George Borrow ... In Three Volumes,,,Lavengro
1058,SC1186,1851,1851,Dalrymple J Elphinstone Mrs,Dalrymple J Elphinstone Mrs,The Livingstones a story of real life,The Livingstones : a story of real life,,,The Livingstones
1059,SC1188,1851,1851,Daunt William J O Neill 1807 1894,Daunt William J O'Neill,The gentleman in debt a novel,The gentleman in debt; a novel,,,The gentleman in debt
1060,SC1189,1851,1851,"De La Voye, Marin J. George","De La Voye, Marin J. George","Eug├⌐nie, the Young Laundress of the Bastille","Eugénie, the young laundress of the Bastille",,,"Eugénie, the young laundress of the Bastille"
1061,SC1190,1851,1851,Dormer Elizabeth Anna Tichborne Dormer of Wyng baroness 1807 1883 eed,Dormer Elizabeth Anna Tichborne Dormer of Wyng baroness 1807 1883 eed,Lady Selina Clifford a novel and other tales,Lady Selina Clifford : a novel : and other tales,,,Lady Selina Clifford
1062,SC1191,1851,1851,James G P R George Payne Rainsford 1799 1860,"James, George Payne Rainsford",Henry Smeaton a Jacobite story of the reign of George the First,Henry Smeaton: a Jacobite story of the reign of George the First,,,Henry Smeaton
1063,SC1192,1851,1851,James G P R George Payne Rainsford 1801 1860,"James, George Payne Rainsford",The fate a tale of stirring times,The fate : a tale of stirring times,,,The fate
1065,SC1225,1852,1851,"Marsh-Caldwell, Anne","Marsh, Caldwell Anne",Emilia Wyndham By the author of Ravenscliffe,Ravenscliffe,,,Ravenscliffe
1066,SC1195,1851,1851,Marsh Caldwell Anne 1791 1874,"Marsh, Caldwell Anne",Time the avenger,"Time, the avenger",,,"Time, the avenger"
1067,SC1196,1851,1851,"Milman, Edward Augustus","Milman, Edward Augustus","Arthur Conway; or, Scenes in the tropic","Arthur Conway; or, Scenes in the tropics",,,Arthur Conway
1068,SC1197,1851,1851,"Murray, Charles Augustus, Sir",Murray Charles Augustus,The prairie bird,The prairie-bird.,,,The prairie-bird
1069,SC1198,1851,1851,Oliphant Mrs Margaret 1828 1897,"Oliphant, Mrs. Margaret",Merkland a story of Scottish life,Merkland : a story of Scottish life,,,Merkland
1070,SC1199,1851,1851,Paton A A Andrew Archibald 1811 1874,Paton Andrew Archibald,The mamelukes a romance of life in grand Cairo,The mamelukes: a romance of life in grand Cairo ..,,,The mamelukes
1071,SC1200,1851,1851,Pinkney Jane Vaughan,Pinkney Jane Vaughan,The young doctor a novel,The young doctor : a novel,,,The young doctor
1072,SC1201,1851,1851,"Ponsonby, Lady Emily","Ponsonby, Lady Emily",Clare Abbey or The trials of youth,"Clare Abbey, or, The trials of youth",,,Clare Abbey
1073,SC1202,1851,1851,"Rosini, Giovanni","Rosini, Giovanni",The convent and the harem,The convent and the harem,,,The convent and the harem
1074,SC1203,1851,1851,Skene Felicia 1821 1899,Skene Felicia,The tutor s ward a novel,The tutor's ward : a novel,,,The tutor's ward
1075,SC1204,1851,1851,Smedley Menella Bute 1819 or 20 1877,Smedley Menella Bute,The story of a family,The story of a family,,,The story of a family
1076,SC1205,1851,1851,Whitehead S R Sarah R,Whitehead S R Sarah R,Rose Douglas or Sketches of a country parish being the autobiography of a Scotch minister s daughter,"Rose Douglas ; or, Sketches of a country parish : being the autobiography of a Scotch minister's daughter",,,Rose Douglas
1077,SC1206,1852,1852,Anderson Mrs Caroline Dorothea,Anderson Mrs Caroline Dorothea,The three paths or Truth vanity and profession,"The three paths, or, Truth, vanity, and profession",,,The three paths
1078,SC1207,1852,1852,Anonymous,Anonymous,Clara Harrington a domestic tale,Clara Harrington : a domestic tale ..,,,Clara Harrington
1079,SC1208,1852,1852,Arami (Pseud),Arami (Pseud),"Cathal More; or, self-love and self-control","Cathal More; or, self-love and self-control",,,Cathal More
1080,SC1209,1852,1852,"Belfast, Frederick Richard","Belfast, Frederick Richard",The farce of life a novel,The farce of life : a novel,,,The farce of life
1081,SC1210,1852,1852,Bride,Bride,The bride elect a novel,"The bride elect, a novel",,,The bride elect
1082,SC1211,1852,1852,Cairnes W Wellington,Cairnes W Wellington,Vagaries of life,Vagaries of life,,,Vagaries of life
1083,SC1212,1852,1852,"Cartwright, Mrs. Robert","Cartwright, Mrs. Robert",Christabelle or Angel footsteps,"Christabelle; or, Angel-footsteps",,,Christabelle
1084,SC1213,1852,1852,"Collins, Wilkie","Collins, Wilkie",Basil a story of modern life,Basil : a story of modern life,,,Basil
1085,SC1214,1852,1852,"Crawford, Mrs. A.","Crawford, Mrs. A.",The double marriage a novel,The double marriage : a novel,,,The double marriage
1086,SC1216,1852,1852,"Deacon, William Frederick","Deacon, William Frederick",Annette: A Tale,Annette; a tale,,,Annette
1087,SC1217,1852,1852,"Ellis, Sarah Stickney",Ellis Sarah Stickney,Agatha Beaufort or Family pride,"Agatha Beaufort; or, Family pride",,,Agatha Beaufort
1088,SC1218,1852,1852,Grey Elizabeth Caroline,"Grey, Mrs. Elizabeth Caroline",Mary Seaham A novel,Mary Seaham. A novel. :,,,Mary Seaham
1089,SC1220,1852,1852,Horrocks Charles,"Horrocks, Charles",Horace Grantham or The neglected son,"Horace Grantham; or, The neglected son",,,Horace Grantham
1090,SC1221,1852,1852,James G P R George Payne Rainsford 1801 1860,"James, George Payne Rainsford",Pequinillo in three volumes,Pequinillo : in three volumes,,,Pequinillo
1091,SC1222,1852,1852,"James, George Payne Rainsford","James, George Payne Rainsford","Adrian, or, The clouds of the mind: a romance","Adrian : or the clouds of the mind, a romance",,,Adrian
1092,SC1224,1852,1852,Madden Daniel Owen 1815 1859,Madden Daniel Owen,Wynville or Clubs and coteries a novel,"Wynville, or, Clubs and coteries : a novel",,,Wynville
1093,SC1226,1852,1852,"Marsh, Caldwell Anne","Marsh, Caldwell Anne",Castle Avon,Castle Avon,,,Castle Avon
1094,SC1227,1852,1852,"Mills, John","Mills, John",The belle of the village,The belle of the village,,,The belle of the village
1095,SC1228,1852,1852,Nunn Lorenzo N Mrs,Nunn Lorenzo N Mrs,The militia major a novel,The militia major : a novel,,,The militia major
1096,SC1229,1852,1852,Oliphant Mrs Margaret 1828 1897,"Oliphant, Mrs. Margaret",Memoirs and resolutions of Adam Graeme of Mossgray Including some chronicles of the borough of Fendie,Memoirs and resolutions of Adam Graeme of Mossgray. Including some chronicles of the borough of Fendie,,,Memoirs and resolutions of Adam Graeme of Mossgray
1097,SC1230,1852,1852,Savage M W Marmion Wilard 1803 1872,Savage Marmion Wilard,Reuben Medlicott or The coming man,"Reuben Medlicott, or, The coming man",,,Reuben Medlicott
1098,SC1231,1852,1852,"Sinclair, Catherine","Sinclair, Catherine",Beatrice or The unknown relatives,"Beatrice, or, The unknown relatives",,,Beatrice
1099,SC1232,1852,1852,Tayleure Floyd,Tayleure Floyd,Professions A novel,Professions. A novel,,,Professions
1100,SC1233,1852,1852,"Thackeray, William Makepeace","Thackeray, William Makepeace",The History of Henry Esmond Esq a Colonel in the Service of Her Majesty Q Anne Written By Himself In Three Volumes,"The History of Henry Esmond, Esq. a Colonel in the Service of Her Majesty Q. Anne.",Historical,"Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.","The History of Henry Esmond, Esq"
1101,SC1237,1852,1852,Wallace Ellen,"Wallace, Ellen",Lena or The silent woman,"Lena, or, The silent woman",,,Lena
1102,SC1238,1853,1853,"Belfast, Frederick Richard","Belfast, Frederick Richard",Wealth and labour a novel,Wealth and labour : a novel,,,Wealth and labour
1103,SC1239,1853,1853,"Bronte, Charlotte","Bronte, Charlotte",Villette By Currer Bell Author of Jane Eyre In Three Volumes,"Villette. By Currer Bell, Author of ""Jane Eyre, "" ... In Three Volumes",Bildungsroman,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print. | Lowe, Brigid. ""The Bildungsroman."" The Cambridge History of the English Novel. Eds. Robert L. Caserio and Clement Hawes. Cambridge University Press, 2011. Cambridge Histories Online. Cambridge University Press. 14 August 2012 DOI:10.1017/CHOL9780521194952.027",Villette
1104,SC1240,1853,1853,Cole Alfred Whaley fl 1852 1896,Cole Alfred Whaley,Hope a story of chequered life,Hope : a story of chequered life,,,Hope
1105,SC1241,1853,1853,"Craik, Dinah Maria Mulock","Craik, Dinah Maria Mulock","Agatha's husband, a novel",Agatha's husband; a novel,,,Agatha's husband
1106,SC1242,1853,1853,"Craik, Dinah Maria Mulock","Craik, Dinah Maria Mulock",Avillion and other tales,Avillion and other tales,,,Avillion and other tales
1107,SC1244,1853,1853,"Dickens, Charles","Dickens, Charles",Bleak House By Charles Dickens With Illustrations by H K Browne,Bleak House. By Charles Dickens. With Illustrations by H. K. Browne,Newgate,"Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",Bleak House
1108,SC1245,1853,1853,"Gaskell, Elizabeth Cleghorn","Gaskell, Elizabeth Cleghorn",Ruth A Novel By the Author of Mary Barton In Three Volumes,"Ruth. A Novel. By the Author of ""Mary Barton."" In Three Volumes",Industrial,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print.",Ruth
1109,SC1246,1853,1853,"Gore, Mrs. Catherine Grace Frances","Gore, Mrs. (Catherine Grace Frances)",The dean's daughter or The days we live in,"The dean's daughter, or, The days we live in",,,The dean's daughter
1110,SC1247,1853,1853,Hannay James 1827 1873,"Hannay, James",Sketches in ultra marine,Sketches in ultra-marine ..,,,Sketches in ultra-marine
1111,SC1248,1853,1853,James G P R George Payne Rainsford 1801 1860,"James, George Payne Rainsford",The vicissitudes of a life a novel,The vicissitudes of a life : a novel,,,The vicissitudes of a life
1112,SC1249,1853,1853,Long Catharine Lady d 1867,Long Catharine,The first lieutenant s story,The first lieutenant's story,,,The first lieutenant's story
1113,SC1250,1853,1853,Maillard Annette Marie,Maillard Annette Marie,Miles Tremenhere A novel,Miles Tremenhere [A novel] ..,,,Miles Tremenhere
1114,SC1251,1853,1853,Reynolds George William McArthur,"Reynolds, George W. M. (George William MacArthur)",Mary Price or the memoirs of a servant maid,Mary Price ; or the memoirs of a servant maid,,,Mary Price
1115,SC1253,1853,1853,"Tautphoeus, Baroness Jemima Montgomery Baroness","Tautphoeus, Baroness Jemima Montgomery Baroness",Cyrilla a tale,Cyrilla : a tale,,,Cyrilla
1117,SC1258,1853,1853,"Yonge, Charlotte Mary","Yonge, Charlotte Mary",The Heir of Redclyffe By the Author of The Two Guardians In Two Volumes,The Heir of Redclyffe. By the Author of The Two Guardians ... In Two Volumes,,,The Heir of Redclyffe
1118,SC1259,1854,1854,Alexander Mrs,Alexander Mrs,Kate Vernon a tale,Kate Vernon : a tale,,,Kate Vernon
1119,SC1260,1854,1854,Coke Henry J Henry John 1827 1916,Coke Henry John,High and low or Life s chances and changes,"High and low; or, Life's chances and changes",,,High and low
1120,SC1261,1854,1854,Crowe Catherine 1800 1876,"Crowe, Catherine",Linny Lockwood,Linny Lockwood ..,,,Linny Lockwood
1121,SC1262,1854,1854,"Dickens, Charles","Dickens, Charles",Hard Times For These Times By Charles Dickens,Hard Times. For These Times. By Charles Dickens,Industrial,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print. | Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",Hard Times
1122,SC1263,1854,1854,Fullom S W Stephen Watson d 1872,"Fullom, Stephen Watson",The great highway a story of the world s struggles,The great highway : a story of the world's struggles,,,The great highway
1123,SC1264,1854,1854,Gibson Charles Bernard 1808 1885,"Gibson, Charles Bernard",The last Earl of Desmond a historical romance of 1599 1603 In two volumes,The last Earl of Desmond: : a historical romance of 1599-1603. ... In two volumes. ..,Historical,title inference,The last Earl of Desmond
1124,SC1265,1854,1854,Grant James 1822 1887,"Grant, James (1822)",Philip Rollo or The Scottish musketeers,"Philip Rollo, or, The Scottish musketeers",,,Philip Rollo
1125,SC1266,1854,1854,"Grant, Louisa Keir","Grant, Louisa Keir",Charles Stanley a novel,Charles Stanley : a novel,,,Charles Stanley
1126,SC1267,1854,1854,Hall Frederick J Mrs,Hall Frederick J Mrs,The next of kin a novel in three volumes,The next of kin : a novel in three volumes,,,The next of kin
1127,SC1268,1854,1854,Hamley Edward Bruce Sir 1824 1893,"Hamley, Edward Bruce",Lady Lee s widowhood,Lady Lee's widowhood,,,Lady Lee's widowhood
1128,SC1269,1854,1854,"Heighway, Osborn W. Trenery","Heighway, Osborn W. Trenery",Adeline or the mysteries romance and realities of Jewish life,"Adeline, or, the mysteries, romance, and realities of Jewish life",,,Adeline
1129,SC1270,1854,1854,James G P R George Payne Rainsford 1801 1860,"James, George Payne Rainsford",Ticonderoga or The Black Eagle A tale of times not long past,"Ticonderoga; or, The Black Eagle. A tale of times not long past",,,Ticonderoga
1130,SC1271,1854,1854,Kettle Rosa Mackenzie d 1895,"Kettle, Rosa Mackenzie",Lewell pastures,Lewell pastures,,,Lewell pastures
1131,SC1272,1854,1854,Lamington Alexander Dundas Ross Wishart Cochrane Baillie Baron 1816 1890,"Lamington, Baron Alexander Dundas Ross Wishart Cochrane Baillie",Florence the beautiful,"Florence, the beautiful",,,"Florence, the beautiful"
1132,SC1273,1854,1854,"Marsh, Caldwell Anne","Marsh, Caldwell Anne",Aubrey,Aubrey,,,Aubrey
1133,SC1274,1854,1854,McGauran,McGauran,Trial and triumph a novel,Trial and triumph : a novel,,,Trial and triumph
1134,SC1275,1854,1854,"Mitford, Mary Russell","Mitford, Mary Russell",Atherton and other tales,Atherton and other tales,,,Atherton and other tales
1135,SC1276,1854,1854,"Ponsonby, Lady Emily Lady","Ponsonby, Lady Emily",Edward Willoughby a tale,Edward Willoughby : a tale,,,Edward Willoughby
1136,SC1277,1854,1854,Reynolds George W M George William MacArthur 1814 1879,"Reynolds, George W. M. (George William MacArthur)",Joseph Wilmot or The memoirs of a man servant,"Joseph Wilmot, or, The memoirs of a man-servant",,,Joseph Wilmot
1137,SC1278,1854,1854,Robinson Emma 1814 1890,"Robinson, Emma",Westminster Abbey or The day of the reformation,"Westminster Abbey : or, The day of the reformation",,,Westminster Abbey
1138,SC1279,1854,1854,Sewell Elizabeth Missing 1815 1906,"Sewell, Elizabeth Missing",Katharine Ashton,Katharine Ashton,,,Katharine Ashton
1139,SC1280,1854,1854,"Sheppard, Elizabeth Sara","Sheppard, Elizabeth Sara",Counterparts or The cross of love,"Counterparts, or, The cross of love",,,Counterparts
1140,SC1281,1854,1854,"Strickland, Agnes","Strickland, Agnes",The pilgrims of Walsingham or Tales of the middle ages An historical romance By Agnes Strickland,"The pilgrims of Walsingham: or, Tales of the middle ages. An historical romance. By Agnes Strickland...",Historical,title inference,The pilgrims of Walsingham
1141,SC1283,1854,1854,"Thackeray, William Makepeace","Thackeray, William Makepeace",The Newcomes Memoirs of a Most Respectable Family Edited by Arthur Pendennis Esq With Illustrations on Steel and Wood by Richard Doyle,"The Newcomes. Memoirs of a Most Respectable Family. Edited by Arthur Pendennis, Esq. With Illustrations on Steel and Wood by Richard Doyle",,,The Newcomes
1142,SC1286,1854,1854,Whyte Melville G J George John 1821 1878,"Whyte, Melville George John",Tilbury Nogo or Passages in the life of an unsuccessful man,"Tilbury Nogo; or, Passages in the life of an unsuccessful man",,,Tilbury Nogo
1143,SC1287,1855,1855,Anonymous,Anonymous,Antipodes or the new existence a tale of real life,"Antipodes, or, the new existence : a tale of real life",,,Antipodes
1144,SC1288,1855,1855,"Armstrong, Francis Claudius","Armstrong, Francis Claudius",The warhawk A tale of the sea By F Claudius Armstrong in three volumes,The warhawk : A tale of the sea. By F. Claudius Armstrong ... in three volumes,,,The warhawk
1145,SC1289,1855,1855,Aston Claude,Aston Claude,They are only cousins a novel,They are only cousins : a novel,,,They are only cousins
1146,SC1290,1855,1855,Carter Robert S,Carter Robert S,Talbot Hall a novel,Talbot Hall : a novel,,,Talbot Hall
1147,SC1291,1855,1855,"Elton, John","Elton, John",Edith Vernon or Contrasts of character,"Edith Vernon, or, Contrasts of character",,,Edith Vernon
1149,SC1293,1855,1855,"Gaskell, Elizabeth Cleghorn","Gaskell, Elizabeth Cleghorn",North And South By The Author of Mary Barton In Two Volumes Second Edition,"North And South. By The Author of ""Mary Barton,"" ... In Two Volumes. Second Edition",Industrial,"Allison, Sarah, Ryan Heuser, Matthew Jockers, Franco Moretti, Michael Witmore. ""Quantitative Formalism: an Experiment."" Stanford: Stanford Literary Lab, 2011. Print. | Sutherland, John. The Longman Companion to Victorian Fiction. 2nd ed. Harlow, England: Pearson Longman, 2009.",North And South
1150,SC1294,1855,1855,Goodrich A M,"Goodrich, A M",Gwen or The cousins,"Gwen, or, The cousins",,,Gwen
1151,SC1295,1855,1855,Kingsley Charles 1819 1875,"Kingsley, Charles",Westward ho or The voyages and adventures of Sir Amyas Leigh knight of Burrough in the county of Devon in the reign of Her Most Glorious Majesty Queen Elizabeth,"Westward ho! : or, The voyages and adventures of Sir Amyas Leigh, knight, of Burrough, in the county of Devon, in the reign of Her Most Glorious Majesty Queen Elizabeth",Historical,"Orel, Harold. The Historical Novel from Scott to Sabatini. New York: St. Martin's Press, Inc., 1995.",Westward ho!
1152,SC1296,1855,1855,Lennox William Pitt Lord 1799 1881,"Lennox, Lord William Pitt",Philip Courtenay or Scenes at home and abroad,"Philip Courtenay, or, Scenes at home and abroad",,,Philip Courtenay
1153,SC1297,1855,1855,"Maberly, Mrs. Catherine Charlotte","Maberly, Mrs. Catherine Charlotte",Display a novel,Display : a novel,,,Display
1154,SC1298,1855,1855,Marsh Caldwell Anne 1791 1874,"Marsh, Caldwell Anne",The heiress of Haughton or The mother s secret,"The heiress of Haughton; or, The mother's secret",,,The heiress of Haughton
1155,SC1299,1855,1855,Oliphant Mrs Margaret 1828 1897,"Oliphant, Mrs. Margaret",Lilliesleaf being a concluding series of Passages in the life of Mrs Margaret Maitland of Sunnyside,"Lilliesleaf: being a concluding series of Passages in the life of Mrs. Margaret Maitland, of Sunnyside",,,Lilliesleaf
1156,SC1300,1855,1855,Rafter Captain,Rafter Captain,Percy Blake or The young rifleman,"Percy Blake; or, The young rifleman",,,Percy Blake
1157,SC1301,1855,1855,"Sewell, Elizabeth Missing","Sewell, Elizabeth Missing",Cleve Hall,Cleve Hall,,,Cleve Hall
1158,SC1302,1855,1855,"Sinclair, Catherine","Sinclair, Catherine",Cross purposes a novel,Cross purposes : a novel,,,Cross purposes
1159,SC1303,1855,1855,Stretton Julia Cecilia,Stretton Julia Cecilia,Woman s devotion a novel,Woman's devotion : a novel,,,Woman's devotion
1160,SC1304,1855,1855,"Trollope, Anthony","Trollope, Anthony",The Warden By Anthony Trollope,The Warden. By Anthony Trollope,,,The Warden
1161,SC1306,1855,1855,Wheeler James Talboys 1824 1897,Wheeler James Talboys,The life and travels of Herodotus in the fifth century before Christ an imaginary biography founded on fact illustrative of the history manners religion literature arts and social condition of the Greeks Egyptians Persians Babylonians Hebrews Scythia,"The life and travels of Herodotus in the fifth century : before Christ: an imaginary biography founded on fact, illustrative of the history, manners, religion, literature, arts, and social condition of the Greeks, Egyptians, Persians, Babylonians, He",,,The life and travels of Herodotus in the fifth century
1162,SC1307,1855,1855,Whyte Melville G J George John 1821 1878,"Whyte, Melville George John",General Bounce or The lady and the locusts,"General Bounce : or, The lady and the locusts",,,General Bounce
1163,SC1308,1855,1855,Williams F Miss,Williams F Miss,The secret marriage or Contrasts in life,"The secret marriage, or, Contrasts in life",,,The secret marriage
1164,SC1309,1856,1856,"Armstrong, Francis Claudius","Armstrong, Francis Claudius",The young commander A novel,The young commander : A novel,,,The young commander
1165,SC1310,1856,1856,"Collins, Wilkie","Collins, Wilkie",After dark,After dark,,,After dark
1166,SC1311,1856,1856,East Wilfrid,East Wilfrid,Maurice Elvington or One out of suits with fortune An autobiography,"Maurice Elvington; or, One out of suits with fortune. An autobiography",,,Maurice Elvington
1167,SC1312,1856,1856,Gore Mrs Catherine Grace Frances 1799 1861,"Gore, Mrs. (Catherine Grace Frances)",A life s lessons,A life's lessons,,,A life's lessons
1168,SC1313,1856,1856,James G P R George Payne Rainsford 1801 1860,"James, George Payne Rainsford",The Old Dominion a novel,The Old Dominion : a novel,,,The Old Dominion
1169,SC1315,1856,1856,"Lyle, Max","Lyle, Max","Fair oaks, or, The experiences of Arnold Osborne, M.D","Fair oaks, or, The experiences of Arnold Osborne, M.D",,,Fair oaks
1170,SC1317,1856,1856,"Marsh, Caldwell Anne","Marsh, Caldwell Anne",Evelyn Marston,Evelyn Marston,,,Evelyn Marston
1171,SC1318,1856,1856,Melville Julia,Melville Julia,Old memories a novel,Old memories : a novel,,,Old memories
1172,SC1319,1856,1856,Oliphant Mrs 1828 1897,"Oliphant, Mrs. Margaret",Zaidee a romance,Zaidee : a romance,,,Zaidee
1173,SC1320,1856,1856,Ponsonby Emily Lady 1817 1877,"Ponsonby, Lady Emily",The young Lord,The young Lord,,,The young Lord
1174,SC1321,1856,1856,"Reynolds, George William MacArthur","Reynolds, George W. M. (George William MacArthur)",Ellen Percy or The memoirs of an actress,"Ellen Percy; or, The memoirs of an actress",,,Ellen Percy
1175,SC1322,1856,1856,Scott Lady Caroline Lucy 1784 1857,"Scott, Lady (Caroline Lucy)",The old grey church,The old grey church,,,The old grey church
1176,SC1323,1856,1856,St John James Augustus 1801 1875,St. John James Augustus,The ring and the veil a novel,The ring and the veil : a novel,,,The ring and the veil
1177,SC1324,1856,1856,Stretton Julia Cecilia 1812 1878,Stretton Julia Cecilia,Margaret and her bridesmaids,Margaret and her bridesmaids,,,Margaret and her bridesmaids
1178,SC1325,1856,1856,"Thackeray, William Makepeace","Thackeray, William Makepeace",Doctor Birch and his young friends by Wm M Thackeray,Doctor Birch and his young friends / by Wm. M. Thackeray.,,,Doctor Birch and his young friends
